effective_date,universe,expected_constituent_count,source_url,notes
2023-09-29,NIFTY_100,101,https://www.niftyindices.com/Press_Release/ind_prs17082023.pdf,Temporary Tata Motors DVR inclusion stated in official notice
2024-08-30,NIFTY_100,100,https://www.niftyindices.com/Press_Release/ind_prs23082024_1.pdf,Tata Motors DVR cancellation returns Nifty 100 to its normal constituent count
