archive,complete,missing_universes,matched_pdfs
indices_dataMay2022.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataMay2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataMay2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataMay2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataNov2021.zip,True,,NIFTY_100=NIFTY_100_Nov2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Nov2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Nov2021.pdf
indices_dataNov2022.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataNov2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataNov2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataNov2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataOct2021.zip,True,,NIFTY_100=NIFTY_100_Oct2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Oct2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Oct2021.pdf
indices_dataOct2022.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataOct2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataOct2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataOct2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataSep2021.zip,True,,NIFTY_100=NIFTY_100_Sep2021.pdf;NIFTY_MIDCAP_100=NIFTY_Midcap_100_Sep2021.pdf;NIFTY_SMALLCAP_100=NIFTY_Smallcap_100_Sep2021.pdf
indices_dataSep2022.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataSep2023.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataSep2024.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
indices_dataSep2025.zip,False,NIFTY_100;NIFTY_MIDCAP_100;NIFTY_SMALLCAP_100,
