effective_date,universe,source_url,local_filename,sha256,constituent_count
2020-12-31,NIFTY_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2020.zip,indices_dataDec2020.zip,61922f25601735aeb00d534f04de99924607cc4f51ad1cc8777f61720af3ba0c,100
2020-12-31,NIFTY_MIDCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2020.zip,indices_dataDec2020.zip,61922f25601735aeb00d534f04de99924607cc4f51ad1cc8777f61720af3ba0c,100
2020-12-31,NIFTY_SMALLCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2020.zip,indices_dataDec2020.zip,61922f25601735aeb00d534f04de99924607cc4f51ad1cc8777f61720af3ba0c,100
2021-01-29,NIFTY_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2021.zip,indices_dataJan2021.zip,c078a1b9f76004b113af682d30fe1107e30795860d9ad3eab3ad0e3638a58a06,100
2021-01-29,NIFTY_MIDCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2021.zip,indices_dataJan2021.zip,c078a1b9f76004b113af682d30fe1107e30795860d9ad3eab3ad0e3638a58a06,100
2021-01-29,NIFTY_SMALLCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2021.zip,indices_dataJan2021.zip,c078a1b9f76004b113af682d30fe1107e30795860d9ad3eab3ad0e3638a58a06,100
2021-02-26,NIFTY_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2021.zip,indices_dataFeb2021.zip,779259df116672c7a1830033941bea42e5649b14098a65371d5cdfc8f926a7e2,100
2021-02-26,NIFTY_MIDCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2021.zip,indices_dataFeb2021.zip,779259df116672c7a1830033941bea42e5649b14098a65371d5cdfc8f926a7e2,100
2021-02-26,NIFTY_SMALLCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2021.zip,indices_dataFeb2021.zip,779259df116672c7a1830033941bea42e5649b14098a65371d5cdfc8f926a7e2,100
2021-03-31,NIFTY_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2021.zip,indices_dataMar2021.zip,c5678dfaf5e0b0a79b329509854404f18f164da83513e2a38a69c496e90b4155,100
2021-03-31,NIFTY_MIDCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2021.zip,indices_dataMar2021.zip,c5678dfaf5e0b0a79b329509854404f18f164da83513e2a38a69c496e90b4155,100
2021-03-31,NIFTY_SMALLCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2021.zip,indices_dataMar2021.zip,c5678dfaf5e0b0a79b329509854404f18f164da83513e2a38a69c496e90b4155,100
2021-04-30,NIFTY_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2021.zip,indices_dataApr2021.zip,d4fdf9f7b2853638793bb244813e2e04465176d0da4fbe12718bbe03990a4e3b,100
2021-04-30,NIFTY_MIDCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2021.zip,indices_dataApr2021.zip,d4fdf9f7b2853638793bb244813e2e04465176d0da4fbe12718bbe03990a4e3b,100
2021-04-30,NIFTY_SMALLCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2021.zip,indices_dataApr2021.zip,d4fdf9f7b2853638793bb244813e2e04465176d0da4fbe12718bbe03990a4e3b,100
2021-05-31,NIFTY_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2021.zip,indices_dataMay2021.zip,eacc46b36e5c82d30d187d378d3080bfe3d6b75292ed580b4e805d6098b2de9d,100
2021-05-31,NIFTY_MIDCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2021.zip,indices_dataMay2021.zip,eacc46b36e5c82d30d187d378d3080bfe3d6b75292ed580b4e805d6098b2de9d,100
2021-05-31,NIFTY_SMALLCAP_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2021.zip,indices_dataMay2021.zip,eacc46b36e5c82d30d187d378d3080bfe3d6b75292ed580b4e805d6098b2de9d,100
2021-06-30,NIFTY_100,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2021.zip,indices_dataJun2021.zip,97db188b5f25d3a63fb30045dee4e70cb9239135310e72b04c3dc5b89c8e3e04,100
