effective_date,ticker,universe,source_pdf
2021-03-31,OBEROIRLTY.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,OIL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ONGC.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,PAGEIND.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,PEL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,PETRONET.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,PFC.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,PFIZER.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,PGHH.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,PIDILITIND.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,PIIND.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,PNB.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,PNBHOUSING.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,POLYCAB.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,POWERGRID.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,PRESTIGE.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,PVR.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,QUESS.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,RADICO.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,RAIN.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,RALLIS.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,RAMCOCEM.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,RBLBANK.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,RECLTD.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,RELIANCE.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,RITES.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,ROSSARI.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,ROUTE.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,RVNL.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SAIL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,SANOFI.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,SBICARD.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,SBILIFE.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,SBIN.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,SEQUENT.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SHILPAMED.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SHREECEM.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,SIEMENS.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,SONATSOFTW.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SPARC.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SPICEJET.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SRF.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,SRTRANSFIN.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,STAR.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,STLTECH.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SUNPHARMA.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,SUNTECK.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SUNTV.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,SWSOLAR.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,SYNGENE.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,TANLA.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,TATACHEM.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,TATACONSUM.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,TATAELXSI.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,TATAMOTORS.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,TATAPOWER.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,TATASTEEL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,TCS.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,TECHM.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,THYROCARE.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,TITAN.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,TORNTPHARM.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
